Complexity	Time	Predicted
6698	2	6,51021
1,94838e+06	58	67,481
998775	33	37,6624
127334	17	10,2983
1,72874e+06	61	60,584
1,5482e+06	61	54,9149
629717	34	26,0736
80411	15	8,82487
70697	12	8,51984
1413	0	6,34426
46702	3	7,76638
6590	0	6,50682
96819	11	9,3401
557915	23	23,819
22768	2	7,01482
393148	15	18,6451
105594	5	9,61565
667373	57	27,2561
196383	4	12,4665
140724	11	10,7188
171535	6	11,6863
146183	11	10,8902
698788	17	28,2425
475870	33	21,2427
19023	0	6,89723
231744	11	13,5769
89643	3	9,11477
188919	4	12,2321
45901	1	7,74122
228475	11	13,4742
519116	38	22,6007
292675	8	15,4902
64178	1	8,31514
275988	11	14,9662
864076	24	33,4328
358288	10	17,5505
23075	16	7,02446
321944	10	16,4093
76440	4	8,70018
125329	6	10,2353
222030	20	13,2719
684802	25	27,8034
155164	12	11,1722
1,77497e+06	49	62,0358
926861	26	35,4043
1,32653e+06	35	47,9544
498041	51	21,9389
74314	4	8,63342
18116	0	6,86875
45322	2	7,72304
409035	11	19,144
265823	8	14,647
106812	3	9,65389
58108	6	8,12454
2,06349e+06	63	71,0956
655039	37	26,8688
5518	1	6,47316
337648	21	16,9024
88350	10	9,07417
25670	7	7,10595
11719	1	6,66787
45252	22	7,72085
660628	27	27,0443
112005	4	9,81696
281248	10	15,1314
63938	4	8,3076
209277	8	12,8714
87923	18	9,06076
195640	10	12,4432
1,13626e+06	47	41,9798
416500	12	19,3784
1,76417e+06	53	61,6966
538328	16	23,2039
8003	1	6,55119
248663	51	14,1082
331824	16	16,7195
1,73906e+06	51	60,9083
726715	18	29,1195
646833	50	26,6111
30856	1	7,2688
55712	1	8,0493
65176	1	8,34648
100555	29	9,45742
829436	68	32,345
239116	5	13,8084
443003	12	20,2106
143137	4	10,7945
251313	7	14,1914
81305	10	8,85295
13357	0	6,71931
290176	9	15,4117
194133	14	12,3959
290120	8	15,41
43270	0	7,65861
526248	31	22,8246
334942	9	16,8174
28573	0	7,19711
1,05647e+06	37	39,4741
19884	0	6,92426
1,69268e+06	68	59,4519
453366	13	20,536
27994	0	7,17893
1,11077e+06	37	41,1793
52970	3	7,9632
89702	3	9,11662
249	0	6,3077
482698	19	21,4571
948806	26	36,0934
257121	11	14,3737
331732	11	16,7166
713	0	6,32227
622097	23	25,8344
222230	8	13,2781
437985	14	20,0531
812205	26	31,804
502132	44	22,0673
1,07178e+06	45	39,9547
379887	13	18,2287
1,08081e+06	37	40,2386
58659	1	8,14184
1,185e+06	48	43,5101
170833	9	11,6642
28102	0	7,18232
128294	5	10,3284
207134	5	12,8041
1,15752e+06	33	42,6472
842515	23	32,7557
173629	7	11,752
26294	4	7,12554
116204	5	9,94881
427001	14	19,7082
14947	3	6,76924
68721	6	8,4578
153910	5	11,1328
38620	1	7,51259
54563	6	8,01322
106253	4	9,63634
145885	25	10,8808
985487	66	37,2452
660896	57	27,0527
21021	10	6,95997
80976	2	8,84262
27089	1	7,15051
594447	23	24,9661
370875	15	17,9457
37129	8	7,46577
36795	1	7,45529
666977	42	27,2436
175034	20	11,7961
324585	18	16,4922
816361	25	31,9345
176093	19	11,8294
109560	14	9,74018
11616	0	6,66464
44933	9	7,71083
60760	6	8,20781
15419	1	6,78406
29533	1	7,22725
567914	17	24,133
245399	14	14,0057
64205	2	8,31599
144308	5	10,8313
34171	2	7,37289
101430	7	9,48489
615653	44	25,632
167703	8	11,5659
1,22545e+06	51	44,7804
849850	32	32,9861
21580	7	6,97752
543540	40	23,3676
873020	36	33,7136
37786	15	7,48641
230432	8	13,5357
169404	5	11,6193
602299	22	25,2127
187632	6	12,1917
99815	3	9,43418
278	0	6,30862
6674	0	6,50946
343583	68	17,0887
46694	5	7,76613
83806	5	8,93148
12803	0	6,70191
114722	10	9,90227
373	0	6,3116
917074	34	35,097
60206	25	8,19042
176917	4	11,8553
868706	57	33,5781
19110	4	6,89996
83795	4	8,93114
49639	2	7,8586
628581	47	26,038
174297	5	11,773
9687	0	6,60407
713042	26	28,6901
405712	15	19,0397
151822	5	11,0673
433755	18	19,9202
497106	12	21,9095
34582	19	7,3858
624744	40	25,9175
266223	36	14,6596
246220	7	14,0314
454888	23	20,5838
272851	19	14,8677
47834	12	7,80192
1,93235e+06	63	66,9775
636247	22	26,2787
142088	3	10,7616
221876	5	13,267
343943	16	17,1
481559	24	21,4213
40547	5	7,5731
1,39491e+06	41	50,1015
938353	22	35,7651
981393	29	37,1166
99202	7	9,41493
13196	0	6,71425
1,58614e+06	47	56,1063
935709	54	35,6821
279217	11	15,0676
115650	33	9,93141
60782	2	8,2085
820557	62	32,0662
283346	33	15,1972
50984	21	7,90084
293260	10	15,5086
36741	11	7,45359
185184	6	12,1149
151598	4	11,0602
8721	5	6,57373
776337	26	30,6777
248590	27	14,1059
762052	18	30,2291
207480	13	12,815
253257	21	14,2524
795649	51	31,2841
78551	2	8,76647
41949	22	7,61713
238901	6	13,8016
905909	33	34,7464
144676	56	10,8429
64886	3	8,33737
1,43251e+06	54	51,2823
117487	18	9,9891
456868	20	20,646
314925	10	16,1889
426756	13	19,7005
7059	0	6,52155
699547	20	28,2664
649193	16	26,6852
2,46581e+06	67	83,7289
748818	48	29,8135
29263	3	7,21877
57143	1	8,09423
144214	31	10,8284
1,09833e+06	49	40,7886
25175	1	7,09041
2,38152e+06	69	81,0821
135951	5	10,5689
739081	23	29,5078
1,12422e+06	48	41,6017
539756	15	23,2488
103637	9	9,55419
105846	2	9,62356
387068	11	18,4542
321611	31	16,3988
261034	18	14,4966
877304	27	33,8481
132542	16	10,4618
147992	9	10,947
294815	16	15,5574
609270	32	25,4316
71751	4	8,55294
52267	1	7,94112
1,51854e+06	82	53,9837
1,00351e+06	25	37,8111
36570	4	7,44822
70142	5	8,50242
247482	38	14,0711
1,04868e+06	31	39,2295
866642	48	33,5133
3821	0	6,41987
